Vertexes;Full;Connected;Tree
10;23224.8;10133.6;7100.2
60;3.34067e+06;1.65728e+06;124233
110;2.01818e+07;9.9562e+06;398833
160;6.14163e+07;3.10304e+07;836567
210;1.40211e+08;6.8654e+07;1.42348e+06
260;2.60963e+08;1.30278e+08;2.17142e+06
310;4.39248e+08;2.20906e+08;3.06861e+06
360;6.8641e+08;3.43338e+08;4.15165e+06
410;1.01447e+09;5.07168e+08;5.33527e+06
460;1.45953e+09;7.20254e+08;6.71927e+06
510;1.95047e+09;9.73502e+08;8.27779e+06
560;2.66962e+09;1.31105e+09;1.05225e+07
610;3.3701e+09;1.68674e+09;1.18288e+07
660;4.27723e+09;2.10182e+09;1.39834e+07
710;5.25858e+09;2.68666e+09;1.61099e+07
760;6.69212e+09;3.29907e+09;1.84772e+07
810;7.7654e+09;4.12501e+09;2.07451e+07
860;9.31946e+09;4.72984e+09;2.40596e+07
910;1.10525e+10;5.53857e+09;2.62842e+07
960;1.30092e+10;6.51949e+09;3.03376e+07
1010;1.50591e+10;7.49239e+09;3.23975e+07
